Substructure,Molecules containing fragment,Number of Molecules_with_Fragment,Mean score cluster,Steps,Number of Molecules_with_Fragment List,step min,step count
COC,{'COC'},1,1.55e-05,[40],[2],40,1
Cc1cc(C)n2c1C(=C1C=Cc3ccccc31)C(c1cccs1)=C1C=C(Cl)C(Cl)=[N+]1[B-]2(F)F,{'Cc1cc(C)n2c1C(=C1C=Cc3ccccc31)C(c1cccs1)=C1C=C(Cl)C(Cl)=[N+]1[B-]2(F)F'},1,0.5226817,[260],[2],260,1
Cc1ccc(C2=C3C=C(c4ccco4)C(c4ccc(Br)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,{'Cc1ccc(C2=C3C=C(c4ccco4)C(c4ccc(Br)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1'},1,0.6001438,[340],[2],340,1
Cc1ccc(C2=C3C(=O)C(=Cc4cccn4C)C(c4cccnc4)=C3c3ccccc32)cn1,{'Cc1ccc(C2=C3C(=O)C(=Cc4cccn4C)C(c4cccnc4)=C3c3ccccc32)cn1'},1,0.3877187,[370],[2],370,1
Cc1ccc(C2=C3C(=C(c4cccn4C)c4cccn4[B-]3(F)F)[B-](F)(F)n3cccc32)cc1,{'Cc1ccc(C2=C3C(=C(c4cccn4C)c4cccn4[B-]3(F)F)[B-](F)(F)n3cccc32)cc1'},1,0.5916137,[380],[2],380,1
Cc1ccc(C(=O)c2cc3ccccc3c3c2-c2ccccc2C3=Cc2ccccc2)cc1,{'Cc1ccc(C(=O)c2cc3ccccc3c3c2-c2ccccc2C3=Cc2ccccc2)cc1'},1,0.2315027,[260],[2],260,1
Cc1cc2c3c(=Nc4ccccc4)nc(-c4ccccc4)n(c3[s+]1)C(c1ccccc1)=C2[O-],{'Cc1cc2c3c(=Nc4ccccc4)nc(-c4ccccc4)n(c3[s+]1)C(c1ccccc1)=C2[O-]'},1,0.3064606,[180],[2],180,1
Cc1cc(C)n2c1C(c1ccccc1)=C1CB(c3ccccc3)c3ccccc3N1[B-]2(F)F,{'Cc1cc(C)n2c1C(c1ccccc1)=C1CB(c3ccccc3)c3ccccc3N1[B-]2(F)F'},1,0.4611262,[250],[2],250,1
Cc1cc(C)c(-n2ccnc2-c2oc(-c3ccccc3)c3ccc4ccccc2c43)c(C)c1,{'Cc1cc(C)c(-n2ccnc2-c2oc(-c3ccccc3)c3ccc4ccccc2c43)c(C)c1'},1,0.5804365,[240],[2],240,1
Cc1ccc(C2=[N+]3C(=C(Cl)c4ccc(Br)cc43)c3ccccc3[B-](Cl)(Cl)n3cccc32)cc1,{'Cc1ccc(C2=[N+]3C(=C(Cl)c4ccc(Br)cc43)c3ccccc3[B-](Cl)(Cl)n3cccc32)cc1'},1,0.3758844,[360],[2],360,1
Cc1c(-c2ccccc2)c(C)n(S(=O)(=O)c2ccccc2[N+](=O)[O-])c(=O)c1-c1ccccc1,{'Cc1c(-c2ccccc2)c(C)n(S(=O)(=O)c2ccccc2[N+](=O)[O-])c(=O)c1-c1ccccc1'},1,0.1044562,[80],[2],80,1
C[n+]1c(-c2ccccc2)c2c(n1-c1ccccc1Sc1ccccc1)-c1ccccc1C2=O,{'C[n+]1c(-c2ccccc2)c2c(n1-c1ccccc1Sc1ccccc1)-c1ccccc1C2=O'},1,0.171399,[380],[2],380,1
C[Si]1(C)CCCCCc2ccccc2-c2ccccc2-c2c1ccc1sc3ccccc3c21,{'C[Si]1(C)CCCCCc2ccccc2-c2ccccc2-c2c1ccc1sc3ccccc3c21'},1,0.0200296,[190],[2],190,1
C[Si](C)(C1=C(c2ccccc2)C(=O)C(c2ccccc2)=C1c1ccccc1)c1ccccc1,{'C[Si](C)(C1=C(c2ccccc2)C(=O)C(c2ccccc2)=C1c1ccccc1)c1ccccc1'},1,0.3706624,[160],[2],160,1
C[Si](C)(C)N=c1c2c(c3ccc(Cl)cc3n1-c1ccccc1)Nc1cccc3cccc-2c13,{'C[Si](C)(C)N=c1c2c(c3ccc(Cl)cc3n1-c1ccccc1)Nc1cccc3cccc-2c13'},1,0.2401718,[60],[2],60,1
C[Si](C)(C)C(=C1N=C(c2ccc(Cl)cc2)[B-]2(C#C[Si](C)(C)c3ccccc3O2)O1)[Si](C)(C)C,{'C[Si](C)(C)C(=C1N=C(c2ccc(Cl)cc2)[B-]2(C#C[Si](C)(C)c3ccccc3O2)O1)[Si](C)(C)C'},1,0.1311917,[40],[2],40,1
Cc1ccc(C2=NC(=C([N-]c3ccccc3)N3C(=O)CCC3=O)C(c3ccccc3)=[S+]2)cc1,{'Cc1ccc(C2=NC(=C([N-]c3ccccc3)N3C(=O)CCC3=O)C(c3ccccc3)=[S+]2)cc1'},1,0.1137956,[30],[2],30,1
Cc1ccc(C2=[N+]3C(=C(c4ccncc4)c4cccn4[B-]3(F)F)C(c3ccccc3)=C2)cc1,{'Cc1ccc(C2=[N+]3C(=C(c4ccncc4)c4cccn4[B-]3(F)F)C(c3ccccc3)=C2)cc1'},1,0.0,[390],[2],390,1
CC1=C(c2ccccc2)C(c2ccccc2)=[N+]2C1=C(c1ccccc1)c1cccn1[B-]2(F)F,"{'CC1=C(c2ccccc2)C(c2ccccc2)=[N+]2C1=C(c1ccccc1)c1cccn1[B-]2(F)F', 'CC1=C(c2ccccc2)C(c2ccccc2)=[N+]2C1=C(c1ccccn1)c1cccn1[B-]2(F)F'}",2,0.6032754499999999,"[210, 300]","[2, 2]",210,2
Cc1ccccc1C1=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]2[B-](F)(F)n2cccc21,{'Cc1ccccc1C1=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]2[B-](F)(F)n2cccc21'},1,0.608413,[300],[2],300,1
FC1=C(c2ccncc2)C(c2ccncc2)=[N+]2C1=C(c1ccccn1)c1cccn1[B-]2(F)F,{'FC1=C(c2ccncc2)C(c2ccncc2)=[N+]2C1=C(c1ccccn1)c1cccn1[B-]2(F)F'},1,0.6013499,[290],[2],290,1
FC(F)(F)C1=CC(c2cccs2)=[S+]C1=C1Sc2[n-]c(=C3C=CC=[S+]3)c([n-][nH]c2C(F)(F)F)=[S+]1,{'FC(F)(F)C1=CC(c2cccs2)=[S+]C1=C1Sc2[n-]c(=C3C=CC=[S+]3)c([n-][nH]c2C(F)(F)F)=[S+]1'},1,0.2583901,[100],[2],100,1
Cn1cccc1C1=C2C(c3ccc(Br)cc3)=C(c3ccc[nH]3)C(Cl)=C2[B-](F)(F)n2cccc21,{'Cn1cccc1C1=C2C(c3ccc(Br)cc3)=C(c3ccc[nH]3)C(Cl)=C2[B-](F)(F)n2cccc21'},1,0.54273,[270],[2],270,1
Clc1nc2ccccc2c2c1c1ccccc1c1[n+]2=C(c2ccccc2)C=1c1cccnc1,{'Clc1nc2ccccc2c2c1c1ccccc1c1[n+]2=C(c2ccccc2)C=1c1cccnc1'},1,0.2845918,[330],[2],330,1
Clc1ccc(C=Cc2cc(-c3c4ccccc4cc4ccccc34)c3ccccc3c2)cc1,{'Clc1ccc(C=Cc2cc(-c3c4ccccc4cc4ccccc34)c3ccccc3c2)cc1'},1,0.0,[140],[2],140,1
Clc1ccc(C2=NC(c3ccccc3)=CC2=C2c3ccccc3Oc3ccccc32)c(Cl)c1,{'Clc1ccc(C2=NC(c3ccccc3)=CC2=C2c3ccccc3Oc3ccccc32)c(Cl)c1'},1,0.4516087,[370],[2],370,1
Cc1cccc(C2=C3[N+](=C(c4c(C)cccc4C)C(F)(F)C3(F)F)[B-](F)(F)n3cccc32)c1,{'Cc1cccc(C2=C3[N+](=C(c4c(C)cccc4C)C(F)(F)C3(F)F)[B-](F)(F)n3cccc32)c1'},1,0.521884,[320],[2],320,1
Cc1ccc(C2=[NH+]C(c3ccccc3)=[N+]3C2=C(c2cccnc2)c2cccn2[B-]3(F)F)cc1,{'Cc1ccc(C2=[NH+]C(c3ccccc3)=[N+]3C2=C(c2cccnc2)c2cccn2[B-]3(F)F)cc1'},1,0.607078,[300],[2],300,1
Cc1cccc(C)c1C1=C(c2ccccc2)[Si](C)(C)C(c2ccccc2)=C1c1ccccc1,{'Cc1cccc(C)c1C1=C(c2ccccc2)[Si](C)(C)C(c2ccccc2)=C1c1ccccc1'},1,0.4930643,[310],[2],310,1
Cc1cccc(C(=NNc2ccccc2)N=c2c3ccccc3cnn2-c2ccncc2)c1,{'Cc1cccc(C(=NNc2ccccc2)N=c2c3ccccc3cnn2-c2ccncc2)c1'},1,0.2568492,[150],[2],150,1
Cc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C(c3ccccc3)=CC1=C2c1ccncc1,{'Cc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C(c3ccccc3)=CC1=C2c1ccncc1'},1,0.6120982,[330],[2],330,1
Cc1ccc(S(=O)(=O)Nc2ccc3c(c2C)c2c(n3C)Oc3ccccc3S(=O)(=O)N2)cc1,{'Cc1ccc(S(=O)(=O)Nc2ccc3c(c2C)c2c(n3C)Oc3ccccc3S(=O)(=O)N2)cc1'},1,0.0368277,[60],[2],60,1
Cc1ccc(NC(=O)c2c(NN=c3c(=O)c(=O)c4ccccc34)ccc3ccccc23)cc1,{'Cc1ccc(NC(=O)c2c(NN=c3c(=O)c(=O)c4ccccc34)ccc3ccccc23)cc1'},1,0.2693774,[210],[2],210,1
Cc1ccc(C=c2ccc(=c3c(=O)c4ccccc4n4c(C)cc(C)c34)c3cccn23)cc1,{'Cc1ccc(C=c2ccc(=c3c(=O)c4ccccc4n4c(C)cc(C)c34)c3cccn23)cc1'},1,0.4015926,[220],[2],220,1
C[Si](C)(C)C#Cc1c(-c2c(C=CCl)ccc3ccccc23)c2ccccc2c2ccccc12,{'C[Si](C)(C)C#Cc1c(-c2c(C=CCl)ccc3ccccc23)c2ccccc2c2ccccc12'},1,0.0,[110],[2],110,1
C[N+]1=C(c2ccc(Cl)c(Cl)c2)C2=C(c3ccc(F)cc3)c3cccn3[B-](F)(F)[N+](=C2)[B-]1(F)F,{'C[N+]1=C(c2ccc(Cl)c(Cl)c2)C2=C(c3ccc(F)cc3)c3cccn3[B-](F)(F)[N+](=C2)[B-]1(F)F'},1,0.481939,[250],[2],250,1
C[B-]1(C)C[N+](=C(N=C(c2ccccc2)c2ccccc2)c2ccccc2)Cc2ccccc21,{'C[B-]1(C)C[N+](=C(N=C(c2ccccc2)c2ccccc2)c2ccccc2)Cc2ccccc21'},1,0.1054888,[330],[2],330,1
